"doi","retracted"
"10.1002/2211-5463.12158",TRUE
"10.1001/jama.2009.640",TRUE
"10.1002/1096-9896(200107)194:3<303::aid-path879>3.0.co;2-q",TRUE
"10.1002/2015jc011368",TRUE
"10.1002/1096-9098(200007)74:3<201::aid-jso8>3.0.co;2-5",TRUE
"10.1002/2015jd024607",TRUE
"10.1002/2016jd026070",TRUE
"10.1001/jama.2012.2",TRUE
"10.1002/1873-3468.12600",TRUE
"10.1002/2013wr014228",TRUE
"10.1002/2017tc004516",TRUE
"10.1002/adma.201301243",TRUE
"10.1002/adem.201400273",TRUE
"10.1002/adem.200900153",TRUE
"10.1002/adfm.201090037",TRUE
"10.1002/adhm.201800982",TRUE
"10.1002/adfm.200900772",TRUE
"10.1002/adma.200601629",TRUE
"10.1002/adma.201301370",TRUE
"10.1002/adma.201870251",TRUE
"10.1002/adsc.200990000",TRUE
"10.1002/adsc.200800361",TRUE
"10.1002/admt.201600145",TRUE
"10.1002/adsc.201180001",TRUE
"10.1002/adsc.201090010",TRUE
"10.1002/adsc.200900281",TRUE
"10.1002/adsc.201580141",TRUE
"10.1002/adsc.201100451",TRUE
"10.1002/adsc.201400420",TRUE
"10.1002/ana.24676",TRUE
"10.1002/ajh.24678",TRUE
"10.1002/ajhb.22519",TRUE
"10.1002/adsc.201680041",TRUE
"10.1002/aic.12793",TRUE
"10.1002/ajhb.22458",TRUE
"10.1002/adv.20248",TRUE
"10.1002/ana.20866",TRUE
"10.1002/anie.201907642",TRUE
"10.1002/anie.201509121",TRUE
"10.1002/anie.201090154",TRUE
"10.1002/anie.201206869",TRUE
"10.1002/anie.201410475",TRUE
"10.1002/anie.201002045",TRUE
"10.1002/anie.201004790",TRUE
"10.1002/app.32930",TRUE
"10.1002/app.31222",TRUE
"10.1002/aoc.1299",TRUE
"10.1002/app.26336",TRUE
"10.1002/app.31243",TRUE
"10.1002/app.44598",TRUE
"10.1002/app.33661",TRUE
"10.1002/app.33496",TRUE
"10.1002/app.34819",TRUE
"10.1002/app.38243",TRUE
"10.1002/app.43480",TRUE
"10.1002/app.40466",TRUE
"10.1002/app.44938",TRUE
"10.1002/app.32428",TRUE
"10.1002/app.34520",TRUE
"10.1002/ardp.201390003",TRUE
"10.1002/ardp.201700397",TRUE
"10.1002/asia.201200906",TRUE
"10.1002/bmc.3166",TRUE
"10.1002/asna.201613216",TRUE
"10.1002/bdd.2060",TRUE
"10.1002/bio.1386",TRUE
"10.1002/bit.25275",TRUE
"10.1002/asl.204",TRUE
"10.1002/bio.3693",TRUE
"10.1002/bmc.1243",TRUE
"10.1002/asna.201702001",TRUE
"10.1002/bab.1005",TRUE
"10.1002/biot.201190008",TRUE
"10.1002/asia.201200016",TRUE
"10.1002/bkcs.11086",TRUE
"10.1002/cbdv.200900210",TRUE
"10.1002/ca.23029",TRUE
"10.1002/cae.21993",TRUE
"10.1002/bmc.3320",TRUE
"10.1002/bmc.866",TRUE
"10.1002/btpr.224",TRUE
"10.1002/chem.201903473",TRUE
"10.1002/cbf.2825",TRUE
"10.1002/ceat.200800669",TRUE
"10.1002/chem.201203218",TRUE
"10.1002/cbdv.201700086",TRUE
"10.1002/cbf.1524",TRUE
"10.1002/chem.201201666",TRUE
"10.1002/cbin.11252",TRUE
"10.1002/chem.200901991",TRUE
"10.1002/cbin.10593",TRUE
"10.1002/cctc.201901374",TRUE
"10.1002/celc.201500294",TRUE
"10.1002/chem.201002071",TRUE
"10.1002/chem.201090242",TRUE
"10.1002/chem.201090246",TRUE
"10.1002/chem.201590036",TRUE
"10.1002/cbin.11080",TRUE
"10.1002/ccd.25402",TRUE
"10.1002/ccd.25403",TRUE
"10.1002/ceat.201510669",TRUE
"10.1002/chem.201500383",TRUE
"10.1002/cbic.201000254",TRUE
"10.1002/cbin.10388",TRUE
"10.1002/chem.201300850",TRUE
"10.1002/chem.201605777",TRUE
"10.1002/cnm.2805",TRUE
"10.1002/cjoc.201100445",TRUE
"10.1002/clc.23047",TRUE
"10.1002/cncr.21904",TRUE
"10.1002/cncr.29342",TRUE
"10.1002/cncr.29381",TRUE
"10.1002/cncr.31208",TRUE
"10.1002/cjoc.201511445",TRUE
"10.1002/clc.20541",TRUE
"10.1002/clen.201000316",TRUE
"10.1002/cncr.21731",TRUE
"10.1002/cjce.22372",TRUE
"10.1002/cncr.20924",TRUE
"10.1002/cncr.24250",TRUE
"10.1002/cncr.25163",TRUE
"10.1002/cncr.32113",TRUE
"10.1002/cjce.21632",TRUE
"10.1002/cjoc.200890154",TRUE
"10.1002/cmdc.201400036",TRUE
"10.1002/cmr.a.21399",TRUE
"10.1002/cncr.21658",TRUE
"10.1002/cncr.23100",TRUE
